doctor_id,first_name,last_name,gender,yyyy,mm,dd,accepting_patients,specialty_id,ethnicity_id,experience_years,qualifications,phone
11100032,Federico,Lafleur,M,1956,11,7,1,10151,110005,24,MD,(567) 212-5249
11100033,Tomas,Barrett,M,1960,2,1,1,10136,110011,10,MBBS,(243) 794-1239
11100034,Janice,Peterson,F,1960,9,22,1,10163,110025,45,MD,(654) 630-3653
11100035,Roman,Turner,M,1969,5,23,1,10111,110065,26,MD,(352) 756-8471
11100036,Tommie,Odom,M,1947,8,19,1,10103,110060,12,MBBS,(791) 275-9644
11100037,Doyle,Simmons,M,1942,10,5,1,10124,110008,21,MD,(545) 891-1034
11100038,Zandra,Calvert,F,1984,3,25,1,10141,110014,32,MS,(764) 670-5734
11100039,Hope,Carlson,F,1969,10,14,1,10159,110034,7,MBBS,(454) 852-7848
11100040,Bernadine,Wheeler,F,1974,3,19,1,10160,110042,28,MD,(723) 584-7262
11100041,Derrick,Ramsey,M,1981,11,28,1,10133,110022,13,MBBS,(872) 716-3672
11100042,Rebecca,Brooks,F,1945,10,21,0,10142,110004,16,MBBS,(846) 212-3863
11100043,Lydia,Chapman,F,1958,8,24,1,10128,110006,47,MD,(643) 479-2176
11100044,Iva,Villa,F,1941,4,17,1,10125,110052,30,MS,(492) 887-3370
11100045,Samuel,CaleKiDo,M,1978,12,9,1,10106,110051,22,MD,(427) 719-4778
11100046,Eldon,Matson,M,1984,7,25,1,10159,110032,48,MD,(255) 763-6127
11100047,Ernestine,Melton,F,1985,1,11,1,10117,110025,1,MBBS,(473) 774-1854
11100048,Antonio,Bryant,M,1948,5,3,1,10164,110033,1,MBBS,(576) 598-2964
11100049,Tennille,Petit,F,1972,7,27,1,10124,110008,28,MD,(866) 897-3743
11100050,Michael,Peterson,M,1952,4,11,1,10122,110034,5,MBBS,(462) 686-0283
11100051,Palmira,Hanlon,F,1943,7,26,1,10150,110050,16,MBBS,(340) 501-9880
11100052,Yvette,Carpenter,F,1954,2,24,1,10114,110038,39,MD,(553) 616-6286
11100053,Krista,Huff,F,1971,5,18,1,10183,110061,20,MBBS,(707) 677-4445
11100054,Henry,White,M,1971,3,1,1,10117,110002,11,MBBS,(893) 639-5181
11100055,Cruz,Clevenger,F,1943,3,20,1,10143,110007,12,MBBS,(498) 292-6791
11100056,Kirby,Minjarez,M,1975,12,15,1,10168,110018,4,MBBS,(643) 553-4346
11100057,Jeremy,Martinez,M,1953,11,2,1,10109,110055,40,MS,(673) 382-0201
11100058,Jessica,Bell,F,1948,11,9,1,10115,110053,25,MD,(761) 571-8628
11100059,Jacquelyn,Pearson,F,1975,2,24,1,10148,110029,27,MD,(946) 274-4068
11100060,Ronald,Howard,M,1969,5,8,1,10126,110064,12,MBBS,(694) 725-3439
11100061,Terrence,Ward,M,1964,5,16,1,10167,110059,24,MD,(497) 895-8147
11100062,Linnea,Vines,F,1978,6,9,1,10124,110065,20,MBBS,(358) 223-7786
11100063,Raymond,Curtis,M,1963,9,8,1,10102,110049,21,MD,(947) 876-5964
11100064,Sheron,Oliveira,F,1971,11,24,1,10109,110017,6,MBBS,(640) 598-4880
11100065,Theresa,Miller,F,1951,9,16,1,10145,110012,4,MBBS,(878) 219-7113
11100066,Elsy,Gibbs,F,1981,7,8,0,10127,110003,13,MBBS,(537) 230-0326
11100067,Kiersten,Taft,F,1959,9,23,1,10157,110062,34,MD,(360) 834-4280
11100068,Joey,Hughes,M,1943,11,27,1,10110,110026,33,MS,(954) 291-3286
11100069,Jean,Hall,F,1975,1,9,1,10132,110066,10,MBBS,(993) 231-4211
11100070,Adriane,Hardison,F,1975,3,19,1,10148,110030,4,MBBS,(847) 878-0832
11100071,Howard,Jones,M,1960,3,18,1,10165,110012,6,MBBS,(531) 681-4463
11100072,Bernice,Aitken,F,1940,7,2,1,10147,110002,18,MBBS,(450) 968-6997
11100073,Larry,Weaver,M,1989,3,4,1,10107,110012,5,MBBS,(801) 479-3521
11100074,Bill,Severt,M,1974,1,16,1,10127,110041,6,MBBS,(542) 279-6097
11100075,Tona,Helton,F,1979,3,4,1,10148,110062,2,MBBS,(823) 711-5028
11100076,Vinita,Maddox,F,1948,7,22,1,10141,110010,2,MBBS,(548) 471-8584
11100077,Kathy,Flores,F,1941,8,13,1,10147,110064,10,MBBS,(379) 859-5282
11100078,Bob,Meyer,M,1972,1,28,1,10169,110042,22,MD,(459) 726-5048
11100079,Mattie,Grant,F,1969,10,1,0,10151,110015,5,MBBS,(669) 601-9435
11100080,Kimvir,Dhillon,M,1979,5,25,1,10165,110063,6,MBBS,(852) 389-4828
11100081,Allan,Schmidt,M,1986,2,8,1,10118,110047,14,MBBS,(531) 212-0874
11100082,Manuel,Hill,M,1986,2,5,1,10183,110038,40,MS,(702) 802-2177
11100083,Barabara,Back,F,1962,3,24,1,10143,110030,12,MBBS,(831) 611-6182
11100084,Paul,Howard,M,1947,9,27,1,10113,110021,45,MD,(550) 441-2929
11100085,Sherman,Chapman,M,1948,10,13,1,10132,110061,28,MD,(742) 929-7482
11100086,Sarah,Theroux,F,1943,5,14,1,10113,110012,44,MD,(993) 932-9644
11100087,Emmanuel,Kunz,M,1946,9,21,1,10169,110039,16,MBBS,(334) 767-2653
11100088,Gary,Rogers,M,1984,1,14,1,10127,110053,26,MD,(570) 641-3674
11100089,Pamela,Nichols,F,1965,10,22,1,10125,110011,49,MS,(453) 710-9250
11100090,Devon,Van,M,1942,1,9,1,10151,110052,24,MD,(699) 855-3222
11100091,Luz,Lee,F,1949,5,20,1,10151,110015,6,MBBS,(527) 684-5893
11100092,Debra,Powell,F,1944,8,24,1,10118,110001,28,MD,(818) 332-7902
11100093,Valentin,Galbraith,M,1946,2,9,1,10175,110043,23,MD,(381) 564-9623
11100094,Penelope,Chapa,F,1951,11,24,1,10160,110007,19,MBBS,(544) 267-7372
11100095,Shannon,Howell,M,1972,8,9,1,10113,110048,30,MD,(220) 611-9538
11100096,Carlos,Edwards,M,1978,10,26,1,10182,110054,11,MBBS,(946) 558-2807
11100097,Tonita,Shepard,F,1965,2,20,1,10129,110056,14,MBBS,(669) 294-8634
11100098,Galen,Post,M,1955,1,11,1,10180,110032,43,MS,(926) 512-6313
11100099,Robert,Green,M,1966,7,9,1,10156,110054,26,MD,(467) 410-7760
11100100,Colin,Gill,M,1953,2,20,1,10160,110023,43,MD,(546) 559-5711
11100101,Raphael,Kaufman,M,1954,3,6,1,10106,110060,11,MBBS,(443) 569-4230
11100102,Jorge,Dezzutti,M,1974,5,6,1,10181,110016,8,MBBS,(463) 710-0359
11100103,Samuel,Rogers,M,1989,7,10,1,10135,110006,22,MD,(475) 795-5447
11100104,Giuseppe,Devore,M,1965,4,5,1,10144,110020,30,MD,(414) 909-6413
11100105,Julia,Turner,F,1985,2,1,1,10118,110010,29,MD,(602) 919-8811
11100106,Dorothy,Mitchell,F,1969,7,27,1,10172,110041,11,MBBS,(336) 219-8508
11100107,Edward,Barrett,M,1975,12,16,1,10102,110020,10,MBBS,(828) 321-8452
11100108,Edwardo,Hendricks,M,1959,6,28,1,10147,110058,49,MD,(336) 260-0465
11100109,Tammera,Beane,F,1955,7,16,1,10136,110029,24,MD,(488) 672-9734
11100110,Roxanne,Cobb,F,1949,1,28,1,10124,110044,9,MBBS,(238) 404-0778
11100111,Hilaria,Block,F,1970,2,26,1,10162,110029,44,MD,(638) 729-7980
11100112,Darrel,Shaw,M,1940,12,12,1,10152,110031,43,MD,(623) 599-9608
11100113,Julie,Hoops,F,1976,5,26,1,10146,110054,33,MD,(365) 327-9943
11100114,Rochelle,Leonard,F,1964,12,28,1,10179,110052,7,MBBS,(518) 810-1520
11100115,Joseph,Phillips,M,1980,10,10,0,10109,110048,27,MS,(493) 780-2293
11100116,Jospeh,Craft,M,1949,10,25,1,10115,110034,33,MD,(932) 748-5837
11100117,Ralph,Bell,M,1948,12,28,1,10160,110041,28,MD,(857) 261-6229
11100118,Susanne,Williamson,F,1968,5,3,1,10168,110014,23,MD,(288) 243-9234
11100119,Keri,Wang,F,1976,5,11,1,10180,110054,36,MS,(481) 339-5667
11100120,Zachery,Alberts,M,1958,2,1,1,10172,110024,25,MD,(334) 891-6996
11100121,Chase,Horton,M,1946,2,17,1,10148,110023,49,MD,(826) 624-6323
11100122,Keith,Jackson,M,1966,8,9,1,10122,110061,6,MBBS,(450) 974-9888
11100123,Elenor,Click,F,1958,4,26,1,10135,110044,35,MS,(316) 645-9604
11100124,Betty,Burns,F,1962,1,15,1,10174,110015,31,MD,(882) 861-0850
11100125,Illa,Sisk,F,1962,1,9,1,10116,110062,4,MBBS,(810) 245-4744
11100126,Clarence,Lee,M,1981,10,23,1,10112,110016,4,MBBS,(497) 912-0722
11100127,Denise,Washington,F,1959,3,4,1,10106,110001,19,MBBS,(902) 885-1458
11100128,Irene,Young,F,1985,10,26,1,10156,110003,9,MBBS,(649) 955-7606
11100129,Cheri,Combs,F,1988,6,23,1,10133,110045,45,MD,(580) 434-4382
11100130,Krystal,Dyer,F,1979,1,4,1,10113,110044,37,MD,(808) 342-5414
11100131,Sheldon,Garrison,M,1981,9,17,1,10115,110028,2,MBBS,(669) 560-9626
11100132,Mayra,Tumlinson,F,1942,2,4,1,10117,110017,7,MBBS,(768) 652-2918
11100133,Jose,Montano,F,1973,6,22,1,10183,110013,39,MS,(717) 374-3122
11100134,Dori,Clemens,F,1966,3,16,1,10114,110026,32,MD,(210) 392-0601
11100135,Nicole,Harris,F,1971,3,21,1,10175,110043,37,MD,(931) 352-6505
11100136,Nicky,Romeo,M,1963,11,11,1,10173,110042,10,MBBS,(508) 616-6135
11100137,Pamelia,Baylor,F,1972,9,13,1,10154,110006,21,MD,(688) 959-5943
11100138,Charlotte,Powell,F,1943,11,24,1,10160,110023,32,MD,(361) 252-7577
11100139,Joyce,Alexander,F,1952,5,5,1,10148,110014,18,MBBS,(700) 604-8977
11100140,Randa,Hildebrand,F,1970,3,6,1,10121,110012,24,MD,(741) 445-1138
11100141,Doreen,Hodges,F,1958,11,4,1,10164,110019,33,MD,(514) 385-9288
11100142,Jody,Thomas,F,1954,7,27,1,10143,110025,10,MBBS,(544) 326-0219
11100143,Santo,Chamberlain,M,1946,11,11,1,10141,110066,31,MS,(427) 914-0590
11100144,Gavin,Tanner,M,1971,5,18,1,10106,110042,39,MD,(455) 847-8724
11100145,Cletus,Marquez,M,1959,6,8,1,10141,110003,8,MBBS,(578) 980-7310
11100146,Roy,Edwards,M,1957,4,27,1,10134,110059,4,MBBS,(637) 840-9003
11100147,Taylor,Schneider,M,1970,6,12,1,10107,110002,10,MBBS,(250) 303-3047
11100148,Patricia,Wallis,M,1940,4,23,1,10168,110029,5,MBBS,(330) 882-3964
11100149,Parker,Tyson,M,1959,9,24,1,10142,110046,2,MBBS,(732) 519-4000
11100150,Teresa,Gonzalez,F,1970,1,1,1,10102,110044,21,MD,(752) 336-1280
11100151,Steve,Smith,M,1945,7,21,1,10107,110014,44,MD,(565) 759-6530
11100152,Melissa,Nitya,F,1951,7,28,1,10106,110003,36,MD,(478) 345-2823
11100153,Lanny,Krause,F,1947,3,5,1,10176,110005,19,MBBS,(801) 290-4764
11100154,Sara,Thomas,F,1957,3,19,1,10115,110064,41,MD,(644) 789-2437
11100155,Kelly,Wilson,F,1985,10,17,1,10147,110001,21,MD,(327) 490-7010
11100156,Deanna,Clarke,F,1956,9,26,1,10162,110018,12,MBBS,(707) 635-4904
11100157,Susan,Smith,F,1985,3,1,1,10180,110062,37,MS,(462) 853-1299
11100158,Vickie,Bailey,F,1949,11,3,1,10103,110023,9,MBBS,(335) 395-8523
11100159,Brian,Flores,M,1940,10,2,1,10111,110011,7,MBBS,(824) 446-0951
11100160,Louella,Homer,F,1958,2,13,1,10176,110032,6,MBBS,(588) 968-0323
11100161,Cornelius,Medina,M,1979,7,28,1,10106,110013,9,MBBS,(466) 646-7809
11100162,Fred,Taylor,M,1976,12,15,1,10112,110034,11,MBBS,(991) 616-4698
11100163,Melba,Rice,F,1987,11,21,1,10161,110055,10,MBBS,(363) 940-8000
11100164,Weldon,Carroll,M,1966,8,21,1,10176,110005,5,MBBS,(820) 653-9173
11100165,Tristan,Sneed,M,1950,6,11,1,10162,110062,39,MD,(676) 763-8556
11100166,Steve,Parks,M,1973,2,12,1,10143,110050,1,MBBS,(920) 885-4483
11100167,Frank,Gonzalez,M,1985,6,6,1,10141,110015,9,MBBS,(821) 802-2681
11100168,Anita,Page,F,1959,11,11,1,10171,110052,30,MD,(416) 751-8797
11100169,Kathryn,Hunter,F,1989,9,5,1,10157,110020,12,MBBS,(506) 439-1876
11100170,Daisy,Fernandez,F,1970,10,11,1,10173,110045,18,MBBS,(892) 829-6353
11100171,Howard,Axe,M,1976,1,2,0,10166,110010,22,MD,(387) 237-6578
11100172,Sarah,Meyer,F,1968,11,8,1,10144,110035,36,MD,(811) 991-0263
11100173,Santo,Seeley,M,1986,7,13,1,10105,110040,16,MBBS,(749) 224-3069
11100174,Dianna,Thompson,F,1979,7,10,1,10107,110011,24,MD,(626) 454-5436
11100175,Brandon,Sanchez,M,1944,7,4,1,10105,110036,8,MBBS,(949) 488-7362
11100176,Elna,Friend,F,1989,12,24,1,10117,110033,43,MD,(586) 320-7571
11100177,Maria,Lewis,F,1972,6,9,1,10122,110054,16,MBBS,(532) 403-1546
11100178,Marie,Garrett,F,1969,12,18,1,10114,110063,14,MBBS,(729) 212-5785
11100179,Lindsay,Kohler,M,1942,10,17,1,10124,110044,11,MBBS,(500) 859-3544
11100180,Jackie,Bailey,F,1950,1,25,1,10177,110009,8,MBBS,(981) 312-5626
11100181,Chauncey,Dudley,M,1980,5,6,1,10152,110010,4,MBBS,(927) 889-8985
11100182,Wayne,Green,M,1944,4,27,1,10171,110020,33,MD,(511) 714-2724
11100183,Jewel,Herman,M,1942,3,23,1,10123,110044,6,MBBS,(374) 630-7171
11100184,Lamont,Dominguez,M,1950,12,8,1,10168,110016,6,MBBS,(528) 288-0152
11100185,Maud,Hyland,F,1944,10,22,1,10149,110052,16,MBBS,(593) 464-1568
11100186,Adolfo,Kohler,M,1947,11,25,1,10101,110026,14,MBBS,(734) 620-8019
11100187,Joan,Davis,F,1942,11,6,1,10173,110010,11,MBBS,(519) 611-6710
11100188,Fredrick,Todd,M,1962,1,5,1,10115,110010,9,MBBS,(364) 846-2880
11100189,Reggie,Nugent,M,1977,5,22,1,10162,110034,24,MD,(382) 929-9041
11100190,Anne,Campbell,F,1985,10,13,1,10157,110007,19,MBBS,(684) 227-6294
11100191,Virginia,Alvarado,F,1972,9,20,1,10123,110037,19,MBBS,(600) 657-4136
11100192,Kathleen,Hill,F,1987,7,2,1,10163,110054,18,MBBS,(687) 326-1221
11100193,Willard,Hudson,M,1977,12,21,0,10173,110064,20,MBBS,(949) 658-1647
11100194,Sammie,Greenwood,M,1958,11,11,1,10107,110066,4,MBBS,(745) 741-8957
11100195,Scottie,Bales,M,1941,7,6,1,10126,110017,10,MBBS,(585) 364-8063
11100196,Patricia,Schwartz,F,1948,11,17,1,10146,110048,36,MD,(940) 774-2025
11100197,Carol,Watson,F,1962,4,1,1,10131,110055,47,MD,(224) 284-1452
11100198,Contessa,Hewitt,F,1977,11,22,1,10123,110024,13,MBBS,(221) 865-6696
11100199,Ernesto,Jacobs,M,1988,9,3,0,10116,110028,1,MBBS,(849) 554-7566
11100200,Willian,Bonds,M,1950,8,10,1,10119,110053,25,MD,(689) 947-3279
11100201,Azzie,Pacheco,F,1953,8,3,0,10180,110057,46,MS,(217) 997-7741
11100202,Jasper,Buckner,M,1980,9,5,1,10167,110061,12,MBBS,(876) 456-7318
11100203,Homer,Willis,M,1946,11,6,1,10159,110029,6,MBBS,(576) 521-9126
11100204,Melissa,Jones,F,1971,9,22,1,10135,110055,28,MD,(934) 744-0193
11100205,Dale,Matthews,M,1977,4,22,1,10135,110036,28,MS,(631) 738-7998
11100206,Patricia,Diaz,F,1959,9,9,1,10163,110043,1,MBBS,(871) 784-6199
11100207,Albert,Holland,M,1966,11,22,1,10111,110004,46,MD,(785) 261-9981
11100208,Kathy,Green,F,1948,6,9,1,10115,110058,6,MBBS,(451) 794-4030
11100209,Harold,Torres,M,1957,5,11,1,10150,110052,25,MD,(284) 453-5329
11100210,Roberto,Potter,M,1986,9,14,1,10109,110047,36,MS,(760) 268-7676
11100211,Sophie,Palmer,F,1957,12,19,1,10157,110048,40,MD,(850) 845-3694
11100212,Gary,Lee,M,1983,2,21,1,10181,110006,28,MD,(392) 617-8678
11100213,Lacy,Findley,M,1983,4,7,1,10178,110024,4,MBBS,(528) 750-5014
11100214,Tonia,Hughes,F,1974,3,17,1,10108,110005,5,MBBS,(252) 927-4786
11100215,Diane,Scott,F,1960,11,27,1,10169,110051,46,MD,(373) 911-5747
11100216,Nelson,Watson,M,1976,5,21,1,10120,110015,6,MBBS,(620) 789-1699
11100217,Sue,Holloway,F,1987,12,8,1,10109,110034,46,MS,(866) 944-5837
11100218,Paula,Robinson,F,1977,9,25,1,10145,110027,9,MBBS,(695) 588-3604
11100219,Cora,Soto,F,1974,11,12,1,10138,110053,49,MD,(248) 313-4117
11100220,Bryon,Tomson,M,1954,9,25,1,10149,110001,43,MD,(826) 823-3724
11100221,Matthew,Long,M,1985,5,16,1,10129,110015,20,MBBS,(453) 562-8692
11100222,Linwood,Sorenson,M,1958,6,5,1,10175,110017,12,MBBS,(633) 906-0542
11100223,Darcel,Vera,F,1973,12,11,1,10171,110005,43,MD,(868) 871-0604
11100224,Arlen,Denney,M,1966,1,7,1,10181,110029,5,MBBS,(979) 508-0050
11100225,Joyce,Roberts,F,1963,6,1,1,10163,110011,1,MBBS,(574) 743-6876
11100226,Deborah,Garcia,F,1969,9,21,1,10151,110006,21,MD,(351) 248-0805
11100227,Jack,Benson,M,1979,4,11,1,10157,110050,39,MD,(546) 354-7868
11100228,Chelsea,Mills,F,1962,7,25,1,10156,110011,12,MBBS,(218) 444-4372
11100229,Barbara,Wright,F,1945,6,9,1,10138,110020,29,MD,(571) 991-4831
11100230,Eugene,Walsh,M,1977,10,7,1,10135,110025,42,MS,(581) 772-4034
11100231,Rex,Chandler,M,1949,4,24,1,10164,110048,33,MD,(280) 474-3355
11100232,Joe,Price,M,1961,5,5,1,10155,110009,36,MD,(831) 695-8565
11100233,Shaniqua,Martins,F,1989,7,4,1,10149,110034,46,MD,(342) 958-2276
11100234,Sung,Danielson,M,1969,5,1,1,10102,110011,21,MD,(568) 855-9886
11100235,Warner,Kovach,M,1943,3,2,1,10170,110025,25,MD,(686) 272-0528
11100236,Waylon,Balderas,M,1973,6,4,1,10178,110005,42,MD,(217) 421-2353
11100237,Carmen,Rogers,F,1974,2,13,1,10140,110035,7,MBBS,(859) 695-1909
11100238,Wyatt,Dortch,M,1946,4,25,1,10126,110018,22,MD,(767) 799-7234
11100239,Henry,Reed,M,1976,11,19,1,10172,110024,38,MD,(809) 745-0472
11100240,Samuel,Adams,M,1954,2,6,1,10118,110032,13,MBBS,(417) 460-5794
11100241,Linda,Terry,F,1972,2,18,0,10147,110019,33,MD,(292) 704-9605
11100242,Maurice,Gregory,M,1956,9,26,1,10165,110013,37,MD,(817) 722-8925
11100243,Leroy,Bell,M,1985,5,11,1,10164,110025,26,MD,(210) 443-1033
11100244,Rachel,Rodriguez,F,1966,2,10,1,10154,110047,26,MD,(918) 853-6880
11100245,Deja,Meade,F,1966,10,17,1,10125,110028,28,MD,(798) 231-0775
11100246,Nanette,Oates,F,1967,11,4,1,10125,110017,34,MS,(260) 979-1716
11100247,Jayson,Pendergrass,M,1961,12,16,1,10105,110035,12,MBBS,(939) 559-6021
11100248,Lasandra,Button,F,1965,6,22,1,10172,110047,5,MBBS,(792) 668-2593
11100249,Randy,Parker,M,1956,2,20,1,10105,110052,44,MD,(841) 397-3309
11100250,Kim,Hodges,M,1968,11,9,1,10165,110021,44,MD,(739) 334-6362
11100251,Shelley,Nash,F,1964,10,19,1,10115,110056,13,MBBS,(262) 562-3291
11100252,Donald,Watren,M,1967,2,21,1,10152,110012,49,MD,(775) 201-9749
11100253,Keith,Henderson,M,1941,9,1,1,10112,110024,9,MBBS,(332) 382-2586
11100254,Marcus,Marshall,M,1988,12,22,1,10162,110042,14,MBBS,(667) 404-9267
11100255,Kellie,Guzman,F,1968,12,21,1,10152,110038,50,MD,(766) 752-8820
11100256,Coy,Lane,M,1944,3,20,1,10160,110058,1,MBBS,(837) 608-4363
11100257,Lois,Moore,F,1985,6,27,1,10150,110042,46,MD,(521) 967-0109
11100258,Hassie,Mayfield,F,1975,10,6,1,10141,110024,15,MBBS,(668) 839-9401
11100259,Marjorie,Stewart,F,1948,7,28,1,10106,110066,31,MD,(733) 454-5225
11100260,Jean,Bocage,F,1957,3,9,1,10150,110011,39,MD,(690) 476-8943
11100261,Antoine,Ferneini,F,1951,11,16,1,10126,110030,25,MD,(478) 394-9973
11100262,Anne,Briggs,F,1958,5,28,1,10155,110032,50,MD,(638) 617-7005
11100263,Rod,Guenther,M,1989,2,27,1,10168,110024,41,MD,(228) 402-7127
11100264,Rhiannon,Burge,F,1940,10,6,1,10126,110035,16,MBBS,(227) 987-4588
11100265,Joshua,Ross,M,1973,12,8,1,10115,110025,17,MBBS,(825) 738-7278
11100266,Wanda,DanieIi,F,1942,8,23,1,10163,110055,39,MD,(939) 637-8244
11100267,Tasha,Luna,F,1943,8,8,1,10171,110021,37,MD,(912) 766-8490
11100268,Leopoldo,Eason,M,1957,8,1,1,10175,110027,10,MBBS,(585) 304-5970
11100269,Howard,Bell,M,1971,9,2,1,10182,110026,18,MBBS,(958) 228-2826
11100270,Annie,Hernandez,F,1988,5,23,1,10165,110038,28,MD,(895) 939-1126
11100271,Keenan,Venable,M,1968,1,12,1,10116,110008,21,MD,(259) 526-7111
11100272,Don,Doman,M,1975,5,20,1,10176,110057,18,MBBS,(577) 895-5319
11100273,Danny,Moreno,M,1981,2,6,1,10165,110005,32,MD,(928) 379-3408
11100274,Homer,Carlson,M,1982,11,23,1,10122,110037,8,MBBS,(712) 235-8793
11100275,Lynsey,Roland,F,1954,9,4,1,10144,110057,11,MBBS,(594) 252-2509
11100276,Cary,Mendez,M,1983,1,26,1,10109,110021,50,MS,(357) 442-8082
11100277,Season,Callender,F,1964,5,10,1,10126,110025,14,MBBS,(248) 210-7198
11100278,Wei,Freund,F,1957,9,14,1,10156,110024,11,MBBS,(214) 428-6131
11100279,Tom,Reese,M,1940,1,12,1,10146,110053,48,MD,(922) 974-0738
11100280,Alonso,Borrego,M,1974,3,6,1,10159,110055,23,MD,(441) 440-4095
11100281,Bobby,Lane,M,1969,3,16,1,10183,110013,21,MD,(798) 869-3334
11100282,Pamela,Roberts,F,1975,4,14,1,10181,110051,41,MD,(933) 211-1763
11100283,Beverly,Evans,F,1953,11,5,1,10150,110033,1,MBBS,(963) 593-7241
11100284,Leonard,Garrett,M,1960,4,1,1,10103,110059,44,MD,(372) 902-9136
11100285,Mona,Schultz,F,1944,11,13,1,10124,110034,9,MBBS,(434) 930-6922
11100286,Jewel,Villegas,F,1957,11,16,1,10105,110057,1,MBBS,(536) 348-9902
11100287,Raymond,Kelly,M,1965,4,20,1,10149,110050,5,MBBS,(608) 830-9965
11100288,Guadalupe,Moore,M,1964,12,15,1,10105,110048,5,MBBS,(394) 743-5568
11100289,Alan,James,M,1962,10,26,1,10104,110063,12,MBBS,(581) 497-9895
11100290,Dale,Mann,M,1951,10,26,1,10176,110061,27,MD,(639) 918-9007
11100291,Fred,Johnson,M,1954,4,19,1,10133,110043,43,MD,(200) 236-1719
11100292,Jorge,Underwood,M,1982,6,24,1,10136,110038,16,MBBS,(379) 682-5159
11100293,Theo,Pyle,M,1967,3,20,1,10142,110035,30,MD,(390) 648-5112
11100294,Luther,Brady,M,1970,12,9,1,10174,110015,14,MBBS,(212) 224-8085
11100295,Russel,Sweat,M,1958,4,8,1,10171,110049,8,MBBS,(200) 662-2897
11100296,Evelyn,Roy,F,1965,4,9,1,10147,110023,40,MD,(860) 671-9438
11100297,Douglas,Cox,M,1958,2,21,1,10127,110054,30,MD,(203) 466-5703
11100298,Rebecca,Collins,F,1989,6,18,1,10118,110049,36,MD,(639) 570-9745
11100299,Robert,Miller,M,1973,2,20,1,10153,110014,17,MBBS,(302) 849-2711
11100300,Jean,Bennett,F,1969,8,12,1,10132,110047,10,MBBS,(213) 340-4547
11100301,Alicia,Hawkins,F,1941,3,19,1,10142,110027,36,MD,(668) 570-9380
11100302,April,Rios,F,1943,7,26,0,10106,110034,24,MD,(568) 920-1446
11100303,Enoch,Yoo,M,1977,3,15,1,10103,110060,5,MBBS,(249) 398-1320
11100304,Patrice,Thibodeaux,F,1968,9,12,1,10121,110026,30,MS,(456) 348-4680
11100305,Steven,Bryant,M,1954,5,8,1,10173,110006,31,MD,(795) 876-1000
